record_id,date,production_line_efficiency,downtime_hours,yield_rate,defect_rate
REC-51523026,2020-05-25,72.92,5.72,80.31,4.46
REC-43204998,2022-03-07,82.25,5.27,97.2,0.24
REC-69479985,2021-10-06,79.26,4.33,85.01,4.83
REC-27619715,2020-04-17,77.92,7.58,92.9,3.48
REC-32898616,2020-05-13,74.8,7.91,89.37,2.27
REC-14718421,2021-12-12,79.51,7.15,91.02,1.23
REC-53647781,2020-12-24,71.84,5.02,80.56,2.36
REC-72705646,2022-11-25,91.14,7.73,91.39,1.35
REC-46562845,2020-12-24,78.2,0.06,95.99,2.12
REC-69706076,2022-12-25,71.95,8.5,89.21,0.89
REC-82381952,2022-05-12,77.42,5.44,81.81,2.32
REC-89299984,2022-09-26,99.05,6.37,87.01,3.47
REC-94697764,2020-07-29,72.63,4.93,90.43,4.02
REC-80257585,2020-06-12,97.61,9.92,95.29,3.96
REC-51562039,2019-09-18,91.33,7.15,90.69,0.03
REC-74646194,2022-04-16,81.34,2.94,93.55,3.51
REC-40484663,2023-06-14,72.41,1.59,97.35,2.76
REC-69305486,2022-09-24,72.51,6.99,89.72,0.96
REC-59094606,2021-12-18,82.86,4.35,91.12,0.2
REC-44870711,2020-07-15,72.24,4.16,94.59,3.34
REC-50744867,2020-10-17,74.85,8.16,83.93,0.14
REC-10012394,2020-05-30,88.18,4.72,87.75,0.84
REC-28293937,2021-04-06,74.81,5.34,92.81,2.79
REC-48488577,2023-05-03,96.76,6.37,85.15,3.92
REC-81819757,2023-06-27,79.96,8.83,82.77,2.22
REC-76025948,2024-05-28,82.7,7.5,84.55,4.16
REC-50213043,2024-05-21,89.72,0.15,86.03,4.44
REC-67772049,2024-01-11,86.63,1.09,85.98,3.59
REC-90128487,2023-02-20,93.33,6.5,83.24,1.27
REC-10968781,2020-07-18,87.21,3.25,93.57,2.56
REC-60149632,2019-11-22,88.57,0.22,97.41,4.2
REC-65262252,2020-06-06,94.62,1.99,90.63,1.24
REC-62982727,2022-09-05,80.32,2.3,86.2,2.2
REC-31913660,2024-05-19,85.27,7.99,97.53,4.33
REC-60782359,2020-06-17,94.0,9.23,87.75,3.7
REC-45296615,2022-06-05,94.76,5.96,97.75,2.48
REC-66672010,2022-12-11,70.48,1.32,85.28,3.61
REC-79338228,2019-10-10,75.39,2.74,95.2,2.18
REC-48208680,2022-02-24,73.85,4.17,83.83,4.3
REC-46080681,2023-03-10,95.83,0.69,85.21,4.87
REC-35233016,2022-12-19,84.82,2.43,81.06,1.65
REC-34482277,2020-05-22,86.65,7.55,82.91,3.07
REC-48868823,2024-06-05,87.42,4.02,92.72,3.67
REC-95482292,2021-09-25,80.47,9.61,82.03,0.87
REC-92910238,2024-07-14,83.55,4.21,93.42,1.7
REC-46525224,2024-02-07,76.72,5.82,96.34,2.56
REC-35204672,2021-02-09,86.07,9.01,94.62,3.3
REC-12603206,2022-11-27,74.96,8.93,87.8,4.22
REC-16661503,2021-02-09,99.7,2.79,98.32,0.63
REC-12970357,2020-11-06,95.86,6.54,83.17,0.71
REC-23726915,2021-12-15,98.61,7.41,97.82,1.8
REC-46130759,2022-03-25,83.14,6.71,99.35,4.45
REC-68843284,2021-12-13,73.11,6.65,89.09,3.26
REC-41247296,2023-11-12,86.98,1.1,96.26,2.68
REC-30224423,2020-11-28,91.26,5.8,82.19,3.55
REC-76247126,2020-03-16,75.77,8.34,80.81,3.79
REC-55890766,2021-02-02,98.58,8.97,88.87,3.19
REC-51819114,2023-05-14,83.64,1.02,93.48,4.48
REC-59848072,2022-01-06,81.11,6.76,91.07,0.04
REC-14259684,2023-04-02,94.75,5.07,88.17,4.65
REC-20767361,2022-03-21,70.99,7.92,85.74,3.47
REC-17521339,2023-10-15,97.06,1.85,96.14,0.09
REC-62669959,2020-04-27,86.93,4.53,89.16,2.95
REC-82905989,2022-09-27,72.23,7.44,93.9,4.01
REC-34374441,2021-10-23,95.08,4.04,95.34,4.56
REC-43565097,2021-10-07,93.35,2.49,85.75,1.72
REC-11693222,2023-11-20,93.63,6.45,80.76,2.4
REC-43415162,2021-05-01,79.24,5.75,86.44,2.39
REC-69453211,2023-07-25,77.11,3.24,85.84,3.99
REC-14497675,2020-07-30,98.87,2.1,87.69,0.06
REC-71852177,2020-10-26,70.39,7.23,84.53,4.14
REC-79946108,2022-04-05,72.09,5.7,85.2,0.01
REC-73461570,2019-09-23,82.75,8.38,97.86,1.42
REC-51890609,2023-01-13,99.57,8.76,85.93,2.54
REC-31288466,2022-06-30,73.99,3.35,97.7,2.59
REC-83763371,2022-11-25,85.35,8.72,91.8,4.36
REC-26393556,2022-06-21,74.82,8.75,87.23,2.17
REC-74589542,2023-05-31,85.66,1.73,85.46,0.41
REC-36672234,2022-07-07,88.92,6.97,99.83,2.97
REC-16991067,2023-05-01,92.17,7.3,81.3,3.93
REC-25157001,2020-10-28,95.1,8.46,92.7,4.61
REC-94947603,2022-03-23,77.45,0.55,91.29,1.59
REC-53555463,2022-05-25,86.29,7.02,91.44,2.29
REC-32462726,2021-05-18,84.13,5.36,97.29,3.99
REC-88476684,2023-09-29,97.35,4.55,96.07,1.28
REC-63124490,2022-05-05,85.24,3.33,84.37,0.41
REC-11198544,2021-03-06,79.43,3.62,98.33,1.8
REC-87990837,2023-01-21,95.72,7.56,95.98,1.38
REC-90022258,2022-05-20,76.5,9.05,89.48,1.49
REC-59848284,2022-02-23,70.63,7.66,83.94,4.33
REC-43382936,2023-11-05,72.07,4.13,86.53,4.57
REC-77098020,2024-07-26,73.33,5.45,99.22,3.33
REC-93033107,2021-09-24,80.99,0.84,92.83,2.76
REC-93903841,2022-06-10,81.16,0.87,80.43,2.14
REC-18022882,2022-11-13,76.61,7.88,84.69,0.55
REC-96513378,2022-01-19,85.6,0.35,89.52,4.31
REC-81988124,2023-01-04,87.86,7.97,98.47,4.82
REC-26888275,2022-10-10,97.49,9.14,89.43,3.99
REC-41229060,2020-08-20,92.32,4.04,92.0,2.5
REC-84940527,2024-06-18,84.57,7.99,92.56,0.52
REC-68883853,2021-05-14,97.28,5.68,90.2,3.75
REC-12865928,2024-04-23,98.89,2.58,90.85,0.88
REC-58072427,2021-03-14,89.91,3.71,84.38,2.04
REC-43647879,2024-05-07,81.92,1.75,80.58,3.19
REC-75136149,2019-11-24,91.07,7.72,82.47,1.12
REC-85031037,2023-08-06,82.43,2.4,96.87,4.84
REC-82844534,2021-06-14,70.62,9.31,85.04,2.24
REC-35471281,2023-05-26,81.02,9.98,92.7,3.48
REC-82963514,2022-02-23,78.52,9.39,92.14,3.73
REC-53443711,2020-04-03,92.42,6.43,86.96,0.85
REC-46953423,2023-02-24,90.73,8.39,90.4,1.59
REC-19244458,2023-12-01,80.3,2.54,87.17,0.97
REC-30807167,2020-11-07,89.73,1.52,95.5,0.56
REC-49684512,2022-03-30,75.68,1.32,88.26,4.28
REC-82693120,2021-09-22,85.93,3.19,81.89,0.53
REC-70945449,2021-10-26,70.79,7.29,87.72,3.06
REC-95634408,2020-12-23,97.68,5.51,91.57,0.04
REC-60874366,2023-04-08,80.8,8.53,91.24,3.31
REC-12512536,2022-11-16,91.2,8.22,83.2,4.72
REC-93241474,2020-04-18,89.08,7.16,87.41,0.76
REC-53042832,2023-06-28,97.47,6.11,85.89,2.82
REC-98354109,2023-09-29,90.24,9.14,89.98,2.07
REC-62008140,2024-08-14,78.52,8.67,86.14,2.35
REC-80339453,2023-01-29,94.97,3.46,94.29,2.7
REC-84016756,2024-03-19,87.17,7.67,97.96,4.36
REC-92280734,2023-12-23,90.55,4.73,84.32,4.24
REC-53298644,2023-03-24,99.55,6.43,90.03,3.91
REC-96020669,2024-04-17,72.25,5.93,90.24,1.8
REC-24826245,2019-12-25,73.97,4.2,95.43,0.22
REC-80222787,2022-09-23,99.42,5.34,81.78,1.84
REC-15875684,2024-03-27,88.42,5.7,81.7,3.33
REC-33976493,2020-05-23,94.62,5.61,85.3,3.22
REC-37122588,2020-08-06,78.32,9.9,84.87,0.45
REC-75145297,2021-10-12,90.75,7.47,95.66,2.51
REC-23254482,2022-09-08,97.87,5.66,83.3,4.99
REC-86639957,2021-01-30,98.3,5.17,86.4,4.61
REC-98304696,2020-01-17,75.95,3.17,90.34,2.86
REC-80574548,2024-06-16,91.13,9.28,96.49,3.64
REC-16588161,2023-01-25,88.34,4.4,95.11,2.56
REC-39624910,2022-06-28,95.71,5.77,81.19,1.5
REC-11756387,2023-05-01,99.63,1.79,81.02,4.26
REC-98013189,2020-07-27,95.74,1.62,95.14,4.66
REC-20731620,2019-10-04,91.56,5.14,91.59,3.1
REC-95753950,2020-07-04,71.43,9.74,89.96,2.31
REC-58442674,2021-11-13,84.57,0.23,84.43,2.15
REC-59535555,2021-07-22,98.37,5.02,97.92,0.52
REC-92803389,2024-01-05,92.12,0.15,89.76,1.63
REC-81003974,2024-01-30,74.61,9.39,91.24,4.97
REC-19447334,2024-05-31,80.8,9.62,88.81,4.8
REC-20460308,2024-08-09,83.69,1.19,93.21,2.86
REC-79724133,2024-07-24,70.56,7.79,90.54,4.68
REC-23586205,2021-07-19,86.64,9.08,82.77,1.18
REC-81358338,2023-06-17,74.9,7.33,92.92,2.05
REC-35428946,2022-11-07,86.15,7.16,88.82,1.78
REC-80624297,2022-12-30,75.29,5.16,87.55,2.46
REC-86507818,2023-08-10,99.28,5.35,88.95,2.92
REC-84950330,2023-12-04,99.76,6.49,92.04,4.2
REC-24161873,2020-12-13,79.81,4.19,95.89,2.47
REC-71568435,2022-08-08,88.48,3.11,85.2,2.42
REC-23972387,2019-11-17,93.49,5.95,98.12,3.0
REC-34212413,2023-10-10,78.56,8.72,92.09,2.77
REC-77738718,2020-07-22,90.54,3.36,89.04,1.67
REC-98252435,2022-03-07,82.06,9.64,87.38,4.03
REC-81658908,2023-03-17,78.74,9.37,89.66,2.17
REC-57288136,2020-05-25,71.54,0.76,82.37,4.57
REC-83830667,2020-08-27,78.68,7.08,89.85,3.08
REC-59891348,2020-11-15,89.45,8.67,92.27,3.3
REC-94992144,2022-08-19,89.51,3.06,84.16,0.63
REC-53412847,2022-04-28,91.69,5.46,81.89,3.79
REC-85584002,2022-08-02,86.08,2.84,85.66,0.44
REC-38712948,2023-07-17,78.73,3.88,91.36,4.74
REC-83851788,2021-06-05,80.74,3.54,87.09,1.55
REC-58319528,2024-02-07,79.2,2.25,94.6,3.73
REC-70062404,2023-10-11,88.08,4.22,91.25,3.52
REC-10026256,2022-08-19,94.39,1.62,95.75,2.58
REC-48182550,2023-09-20,76.5,4.84,86.46,4.62
REC-79472352,2020-07-01,94.48,0.58,92.96,4.57
REC-50512501,2023-05-25,90.15,1.38,90.15,0.47
REC-50310141,2023-07-08,87.92,5.92,80.87,2.21
REC-38833029,2022-05-19,98.39,8.8,84.68,4.83
REC-12912708,2020-03-28,96.21,5.46,81.35,2.54
REC-84311410,2022-03-22,92.02,1.5,95.57,1.8
REC-84668420,2020-01-18,87.81,7.15,84.6,4.02
REC-22655004,2020-08-24,97.95,3.14,95.29,2.34
REC-71789789,2019-11-11,70.61,4.06,96.63,1.25
REC-30952341,2022-08-02,78.77,4.0,88.24,0.55
REC-45566111,2020-08-06,74.23,6.46,95.9,4.75
REC-88135616,2021-01-24,95.1,9.99,87.54,4.62
REC-41271945,2021-09-28,97.91,1.33,97.66,3.57
REC-50305910,2024-01-22,88.5,8.64,81.86,4.0
REC-86569490,2021-02-25,74.83,9.43,88.7,3.08
REC-86378602,2024-05-12,83.71,3.26,99.75,4.34
REC-20361818,2021-01-11,95.43,3.34,92.76,3.7
REC-74764506,2022-06-26,84.45,6.04,99.72,0.34
REC-75535348,2024-06-06,76.0,2.27,91.5,4.84
REC-89890579,2023-04-18,99.35,1.46,93.05,0.07
REC-15015930,2023-08-07,79.26,4.89,94.64,3.31
REC-20533057,2021-08-22,70.51,6.41,95.33,1.67
REC-54881018,2023-02-11,72.2,4.65,85.56,0.38
REC-68291349,2021-03-28,97.92,7.99,85.56,3.19
REC-26178675,2021-04-03,84.57,2.42,93.48,3.63
REC-97614538,2023-05-06,99.03,4.29,98.15,2.84
REC-95078886,2023-01-13,77.75,1.47,87.72,3.27
REC-17264930,2019-12-01,81.43,1.29,84.24,2.36
REC-80381542,2021-05-07,88.24,7.62,88.97,1.86
REC-52857940,2023-06-29,77.93,1.21,85.28,2.46
REC-85821325,2023-04-28,93.33,1.95,91.72,2.24
REC-53866598,2022-12-23,71.35,1.58,99.52,1.99
REC-39634895,2019-09-15,92.59,0.13,98.28,0.09
REC-16780654,2021-06-30,89.55,9.18,91.76,3.19
REC-69809598,2021-06-02,98.62,0.25,98.43,2.78
REC-22090729,2022-01-13,89.85,0.01,81.78,0.18
REC-67973424,2020-03-14,71.67,6.65,90.0,1.38
REC-62925057,2024-07-30,81.49,2.83,98.63,0.99
REC-27742113,2020-07-14,73.74,7.7,82.67,1.62
REC-21079017,2024-03-27,78.0,3.92,94.31,0.58
REC-86697457,2021-04-04,82.13,1.76,98.24,1.8
REC-83571770,2022-10-12,95.44,9.29,85.14,4.64
REC-45239935,2022-06-10,90.53,4.32,83.93,3.67
REC-63489393,2021-05-06,87.46,0.72,89.82,0.92
REC-68316409,2023-07-24,98.82,9.71,83.76,4.16
REC-28102047,2020-08-21,94.28,3.96,93.05,1.72
REC-85067462,2021-11-25,87.56,1.49,82.43,3.93
REC-75479608,2023-10-31,98.49,3.28,92.24,4.46
REC-97543303,2024-02-27,97.1,0.69,80.36,2.48
REC-85318641,2022-05-02,86.17,8.46,86.45,0.2
REC-43050557,2022-12-22,89.7,5.74,82.88,1.29
REC-19615892,2023-01-03,83.99,4.72,85.0,3.01
REC-67722445,2024-08-29,83.03,5.22,89.4,3.88
REC-87311859,2020-08-21,76.0,5.77,94.25,4.28
REC-25103503,2022-08-17,84.48,9.58,99.28,3.72
REC-66846657,2022-08-30,99.84,7.86,97.1,2.96
REC-56749089,2023-07-25,78.01,5.75,82.17,3.37
REC-53048774,2021-02-19,78.64,2.43,85.22,0.15
REC-89708841,2022-03-14,82.73,1.86,88.05,1.11
REC-50912093,2020-05-22,76.55,0.64,97.9,2.87
REC-56938140,2020-10-22,89.69,0.2,87.55,0.56
REC-93642093,2022-05-02,70.72,7.77,84.23,3.28
REC-69118000,2020-09-02,76.7,3.86,82.54,1.94
REC-41338443,2021-09-12,73.97,8.91,97.96,2.33
REC-60173377,2022-04-07,80.08,4.12,91.89,4.25
REC-21517819,2020-08-30,98.14,9.8,98.47,4.36
REC-17319968,2021-03-23,87.7,5.31,85.65,3.22
REC-93349536,2022-11-04,79.7,1.18,86.04,3.35
REC-48612439,2020-11-14,86.23,1.04,98.66,0.67
REC-56073103,2024-01-06,87.4,1.55,90.31,1.31
REC-50952251,2022-12-21,93.59,1.43,96.38,0.54
REC-73242092,2023-03-24,99.1,0.58,88.76,2.68
REC-54543739,2020-11-03,80.62,5.5,82.51,3.62
REC-82209870,2024-07-22,74.41,7.25,87.07,2.45
REC-37353754,2022-12-07,71.82,7.05,87.58,0.21
REC-80231557,2023-04-08,97.48,0.27,99.56,1.9
REC-83658696,2021-04-01,72.52,4.15,94.0,4.78
REC-93623280,2023-10-23,98.54,0.51,83.5,4.85
REC-99692417,2024-03-28,98.93,6.18,85.13,0.13
REC-60547291,2021-02-21,88.04,5.67,90.07,1.48
REC-15836056,2024-05-22,94.46,6.79,88.23,4.53
REC-32859916,2021-02-01,82.44,1.78,95.22,3.81
REC-48119652,2023-11-01,85.69,0.71,82.99,4.25
REC-92941828,2022-02-15,73.33,0.8,80.37,2.14
REC-17124981,2020-11-10,72.49,0.03,99.21,4.98
REC-97880113,2021-04-05,95.04,4.59,82.24,4.69
REC-18938604,2022-05-06,86.9,6.15,95.52,4.03
REC-98633740,2023-07-04,90.42,6.78,92.28,4.38
REC-98983888,2020-02-15,87.64,9.46,95.28,2.19
REC-24480943,2022-09-21,88.42,6.88,86.44,4.5
REC-49258091,2019-10-01,71.83,4.72,86.29,2.94
REC-41026926,2023-10-16,86.65,0.99,99.31,4.93
REC-78255127,2020-10-30,97.98,9.05,91.02,4.54
REC-52339783,2021-04-30,87.46,3.54,91.54,4.93
REC-90142265,2022-12-07,92.49,1.7,95.28,1.55
REC-21813934,2024-06-11,81.05,8.59,90.08,1.04
REC-36692577,2023-12-20,76.91,6.23,97.74,0.2
REC-71469875,2023-11-17,97.0,5.68,95.63,4.55
REC-15335477,2023-02-24,95.87,1.77,88.26,0.83
REC-81056927,2023-11-07,88.66,0.6,95.14,4.73
REC-54770958,2023-03-16,81.55,7.64,81.37,1.92
REC-62801229,2023-06-11,96.66,9.31,96.21,0.73
REC-12465878,2023-10-29,97.05,7.98,81.14,2.01
REC-57232974,2021-02-02,97.02,6.85,87.47,4.05
REC-93917080,2020-05-15,85.82,6.28,87.7,1.0
REC-41702866,2024-06-23,90.65,7.95,91.56,2.57
REC-47027755,2019-12-06,78.1,1.1,82.14,1.95
REC-93992429,2021-07-18,81.24,1.57,82.05,4.34
REC-61965156,2022-02-25,87.85,4.19,81.74,2.98
REC-84482698,2019-12-12,85.9,5.41,94.37,3.98
REC-40277197,2022-01-02,77.49,3.76,83.67,2.73
REC-55873760,2021-07-31,74.53,0.43,88.63,1.13
REC-98171888,2024-03-29,96.61,0.9,98.97,4.28
REC-21783647,2022-02-14,82.05,9.95,80.37,3.48
REC-79889565,2021-02-05,77.18,4.77,85.93,2.1
REC-66013532,2023-07-23,85.72,1.62,94.72,2.8
REC-86893142,2024-06-24,99.43,4.11,80.77,1.79
REC-67239162,2023-11-18,75.29,3.42,83.38,4.53
REC-91251236,2024-05-05,73.06,8.25,85.07,0.94
REC-70286467,2024-01-06,86.08,7.88,91.48,4.87
REC-27686156,2020-08-18,91.74,3.56,84.35,1.07
REC-97573396,2024-07-16,84.76,1.49,90.08,2.0
REC-87984620,2020-08-21,94.98,6.93,98.33,0.24
REC-37153619,2021-12-12,87.52,0.49,98.77,1.64
REC-51473062,2024-04-15,87.21,1.46,95.11,1.86
REC-28153282,2022-10-15,97.97,4.5,85.4,2.38
REC-29482024,2024-04-12,93.57,4.71,88.94,0.01
REC-52613620,2020-01-09,93.75,3.89,83.33,1.3
REC-84804948,2023-06-04,75.2,7.67,91.67,3.78
REC-25889673,2024-04-25,88.83,0.04,87.61,1.45
REC-52627226,2021-07-11,71.89,9.16,88.31,0.78
REC-13957187,2023-04-14,99.66,4.76,86.33,2.3
REC-65571528,2020-07-16,99.03,2.93,97.82,0.04
REC-50714693,2021-10-10,75.51,8.79,90.53,0.72
REC-95476210,2022-03-14,79.51,3.48,84.98,2.09
REC-30395330,2019-12-11,75.56,3.33,94.07,0.62
REC-24330619,2023-06-30,72.9,3.06,93.49,4.4
REC-34796255,2021-11-26,81.07,2.28,96.97,0.27
REC-92138779,2022-08-19,80.01,2.36,83.13,1.17
REC-91282861,2020-05-29,73.08,7.77,96.88,4.53
REC-90042177,2023-05-28,94.67,2.79,83.77,2.24
REC-40992534,2020-08-31,78.5,7.12,96.57,1.87
REC-58219240,2021-09-07,82.31,0.43,80.46,4.79
REC-73968467,2021-06-15,97.61,0.13,98.01,4.73
REC-77420864,2024-09-01,93.32,4.35,99.96,3.48
REC-97183615,2022-08-26,71.24,4.6,88.72,2.73
REC-34692904,2023-04-24,79.35,1.63,87.58,1.44
REC-75960711,2021-01-29,75.96,5.74,88.16,4.25
REC-28456645,2020-11-07,85.37,7.93,92.8,3.57
REC-35938895,2021-06-04,86.91,3.07,85.3,2.53
REC-14325777,2021-06-05,97.15,4.52,82.61,1.95
REC-12015179,2020-03-04,77.75,8.37,86.12,2.38
REC-65437830,2024-07-08,77.52,2.63,94.64,2.79
REC-37223861,2022-08-26,86.85,6.43,82.66,0.19
REC-18876667,2024-03-12,78.46,1.8,92.85,1.03
REC-68959861,2022-01-22,83.81,0.36,98.44,1.88
REC-53606752,2024-04-01,90.06,6.81,92.92,0.78
REC-43122766,2021-02-06,88.32,9.99,82.82,3.07
REC-64340297,2022-06-03,88.08,5.43,91.78,3.28
REC-91594977,2022-02-27,88.17,4.26,90.25,4.15
REC-51996390,2022-02-16,77.04,4.91,88.28,4.9
REC-92074794,2024-07-16,81.31,3.62,93.48,3.16
REC-80495248,2021-12-10,82.1,0.57,93.25,3.82
REC-79880338,2024-01-17,98.79,6.95,87.98,1.4
REC-70614013,2020-06-23,85.73,8.9,82.19,1.35
REC-15692967,2020-10-27,98.51,5.54,86.9,0.22
REC-79619091,2023-03-03,93.89,3.29,88.57,1.18
REC-63098035,2020-03-04,90.9,0.61,85.8,3.47
REC-84853354,2022-01-10,75.26,8.5,96.39,1.53
REC-79273350,2020-09-30,95.79,6.92,84.13,3.58
REC-35481281,2020-10-18,89.65,4.92,97.08,4.5
REC-68995922,2021-10-16,99.89,6.2,87.6,0.83
REC-50876565,2020-11-29,81.83,6.54,89.32,2.96
REC-71920968,2022-05-29,80.4,6.46,83.24,3.27
REC-66701914,2021-10-10,97.25,2.35,93.55,2.62
REC-92293489,2023-01-04,78.42,6.84,90.77,0.07
REC-79386491,2023-10-31,73.54,8.53,96.92,0.88
REC-72220513,2020-11-16,78.94,8.84,81.1,3.99
REC-22138759,2024-07-30,89.84,3.53,82.87,2.76
REC-25189633,2021-12-14,96.63,0.87,87.37,2.82
REC-88577462,2023-03-11,90.63,8.32,83.96,2.85
REC-28160554,2022-11-10,95.61,4.13,95.92,4.97
REC-65506990,2023-07-07,86.24,5.4,84.4,0.59
REC-70516875,2020-04-23,78.36,3.56,84.61,1.32
REC-34008676,2020-06-17,99.58,9.58,96.44,2.36
REC-89230801,2023-02-04,90.07,5.81,88.78,4.49
REC-71026547,2024-01-20,94.6,3.7,92.61,2.5
REC-43565477,2022-01-13,98.18,9.49,87.11,0.05
REC-97050454,2022-10-22,78.82,7.7,83.61,1.22
REC-26581824,2023-07-15,81.57,0.06,80.72,2.39
REC-25322958,2023-10-27,79.72,0.78,98.43,0.37
REC-95103759,2022-06-14,71.16,8.78,98.88,3.09
REC-21449650,2024-08-14,75.75,9.33,82.99,3.0
REC-61551334,2019-09-09,82.72,0.03,98.76,0.07
REC-92150984,2020-06-17,75.73,1.46,98.71,2.74
REC-60825385,2023-07-27,98.37,9.36,94.99,3.22
REC-15892974,2022-09-18,79.89,6.19,86.64,3.96
REC-54988861,2020-03-16,77.57,0.38,97.79,3.98
REC-31759927,2024-03-19,90.69,3.44,80.14,4.01
REC-34007090,2023-01-19,94.4,8.92,98.02,0.26
REC-66315301,2021-07-09,86.27,6.05,96.73,0.41
REC-51542843,2023-04-28,87.57,5.68,88.11,1.39
REC-48759467,2021-06-21,78.54,6.56,92.14,3.18
REC-25777827,2023-11-17,82.92,2.04,93.05,4.9
REC-37226295,2021-12-14,78.76,2.2,95.91,3.76
REC-93558632,2022-06-01,84.02,5.99,88.51,0.34
REC-11638498,2022-01-30,83.6,5.08,86.8,2.06
REC-76790446,2022-07-17,88.6,3.66,94.26,4.8
REC-82947490,2024-04-28,83.41,3.89,95.73,2.63
REC-91602221,2024-08-01,75.9,1.29,90.51,4.63
REC-41927492,2020-10-11,96.89,2.35,85.26,4.91
REC-89035763,2024-06-25,78.21,3.83,83.35,1.26
REC-70899748,2023-10-18,86.89,3.74,93.99,2.79
REC-69307507,2022-08-04,74.07,1.16,98.23,2.44
REC-90693921,2020-01-30,85.41,6.04,97.46,0.73
REC-42844845,2020-01-22,71.75,3.51,94.6,3.42
REC-47327686,2020-07-07,96.52,4.4,96.45,4.27
REC-16565770,2023-07-30,99.08,2.73,86.57,1.76
REC-29898606,2019-10-22,91.49,6.1,81.39,3.8
REC-97681338,2020-09-21,88.86,5.01,99.5,0.99
REC-14928616,2021-01-04,81.57,3.48,98.29,1.65
REC-14352961,2023-06-04,83.16,2.39,93.6,3.04
REC-54440977,2023-07-21,70.63,6.51,84.86,0.58
REC-16580878,2019-09-04,73.31,8.6,84.69,0.1
REC-65963010,2023-04-23,98.46,8.61,99.07,3.66
REC-31654047,2021-05-22,88.78,1.96,93.01,0.25
REC-92019078,2020-10-15,74.15,2.86,90.45,4.98
REC-71114408,2022-03-27,81.21,1.14,96.44,3.51
REC-14810369,2021-01-07,90.1,3.07,96.12,3.24
REC-50170625,2021-12-31,93.85,7.86,81.79,4.4
REC-59468550,2020-06-17,93.99,1.28,80.34,2.91
REC-19082067,2022-09-25,81.62,5.51,83.7,1.38
REC-83882978,2021-10-18,86.31,5.8,96.35,2.55
REC-49303341,2020-05-15,85.05,3.18,82.87,1.26
REC-28058430,2022-10-31,72.4,5.03,90.26,4.19
REC-46831833,2021-01-28,79.99,3.19,81.82,4.41
REC-80739820,2020-02-09,90.02,3.68,88.31,3.45
REC-80416822,2023-01-15,83.3,3.03,89.96,2.52
REC-38058347,2022-04-08,79.03,2.27,92.45,2.92
REC-24670297,2021-08-29,73.8,7.35,98.37,2.11
REC-21766833,2023-04-27,89.81,7.61,89.61,4.93
REC-91171931,2020-06-11,71.39,4.81,86.68,4.68
REC-67318164,2020-06-23,71.86,3.05,95.43,0.1
REC-44850980,2019-09-05,93.02,4.2,95.85,0.25
REC-87194344,2021-06-26,91.21,4.53,96.23,4.54
REC-27409802,2023-09-22,92.81,9.55,95.27,3.63
REC-79753731,2020-05-01,71.44,3.15,82.51,2.44
REC-76102828,2020-10-18,99.59,5.64,90.48,2.89
REC-91793056,2021-08-04,98.04,5.27,81.85,1.99
REC-48988647,2024-02-01,88.21,1.09,81.6,0.65
REC-10212187,2023-06-15,77.77,7.28,94.32,4.86
REC-13219453,2019-09-30,97.36,6.85,94.25,4.73
REC-93947919,2019-09-27,93.07,5.23,93.29,4.92
REC-37827473,2022-08-04,80.23,8.05,99.12,4.92
REC-65571661,2020-09-10,95.14,2.32,90.39,3.3
REC-54800838,2023-04-06,79.98,6.1,94.44,1.73
REC-85217695,2020-10-16,87.99,7.22,82.71,4.47
REC-11516293,2023-09-25,78.68,8.89,84.73,4.98
REC-47799296,2020-04-09,85.37,4.13,83.96,2.31
REC-19104802,2021-08-13,70.8,4.83,88.12,4.0
REC-50303435,2022-12-05,85.0,4.23,86.5,4.33
REC-83818891,2020-06-05,73.1,8.56,97.26,2.34
REC-10822924,2020-07-16,96.79,3.52,87.06,1.95
REC-54732472,2020-07-18,93.81,9.0,92.68,1.38
REC-63156840,2022-05-02,83.68,9.92,94.4,0.26
REC-33572537,2022-10-17,99.94,5.32,86.73,3.57
REC-54360949,2022-03-19,96.64,3.33,97.98,2.93
REC-74304823,2020-11-01,83.59,4.8,93.32,2.58
REC-14772547,2022-12-04,98.74,0.34,99.48,3.28
REC-74625235,2020-10-19,96.29,8.31,90.14,0.14
REC-94181424,2020-11-18,87.37,6.31,99.74,4.23
REC-82070563,2020-04-01,74.51,6.52,94.18,0.69
REC-72071682,2024-03-07,99.87,2.17,88.43,0.64
REC-17519183,2024-06-17,70.93,8.38,93.96,2.8
REC-50177237,2019-09-28,87.75,3.28,84.14,1.26
REC-84514623,2021-01-23,90.38,0.84,86.29,0.03
REC-12512345,2023-05-31,95.64,8.07,88.77,3.26
REC-87496999,2022-08-28,86.78,4.57,86.0,1.67
REC-57458790,2021-06-24,83.57,5.68,97.85,0.96
REC-30039365,2020-12-15,71.06,7.61,86.62,1.13
REC-14183991,2023-03-04,86.51,8.43,91.85,0.48
REC-60363964,2023-06-07,71.12,1.74,85.03,4.45
REC-32276047,2021-07-07,90.04,9.57,98.96,2.11
REC-35149571,2020-05-28,94.83,7.8,87.73,4.55
REC-51376831,2020-07-10,89.03,8.19,93.23,0.51
REC-14245067,2020-11-10,80.03,4.14,90.69,4.8
REC-65548633,2020-09-18,70.28,9.95,97.67,0.12
REC-76713516,2022-12-08,88.51,9.96,85.52,1.38
REC-59873103,2022-08-29,96.51,9.18,91.17,0.17
