record_id,date,inventory_level,order_fulfillment_rate,supplier_performance
REC-92692727,2019-09-23,4592,99.98,92.24
REC-96854901,2021-11-20,9881,96.75,68.38
REC-41889524,2022-12-06,2949,99.88,83.62
REC-48606206,2021-09-02,6392,93.2,98.14
REC-61215153,2023-06-20,7583,86.33,63.19
REC-65910573,2021-12-09,3711,98.12,88.18
REC-84104909,2022-06-22,5421,95.17,89.13
REC-11740164,2022-03-28,1962,95.1,77.52
REC-37257905,2024-08-15,2935,97.64,85.62
REC-40272606,2024-07-16,6952,86.09,83.49
REC-88971743,2019-10-07,9739,91.04,85.36
REC-90985229,2021-11-22,8518,90.47,70.16
REC-35970823,2022-09-23,9955,93.25,75.45
REC-70238919,2021-09-05,3156,93.59,81.87
REC-19995059,2020-03-13,7084,94.56,89.48
REC-33326387,2020-09-03,7537,97.04,79.09
REC-26019397,2023-08-17,4229,92.4,63.79
REC-15453834,2022-04-12,8114,89.38,96.37
REC-47461811,2021-01-10,5093,92.43,81.48
REC-27457234,2023-02-12,4773,85.77,60.64
REC-88381281,2023-12-11,9127,97.83,66.73
REC-10757677,2022-04-25,8909,90.98,90.56
REC-72589932,2020-08-31,5209,86.41,84.43
REC-15360735,2022-03-06,7255,95.09,64.71
REC-53302669,2022-10-17,7476,90.31,72.85
REC-93935292,2021-07-19,5955,98.43,92.78
REC-75840632,2021-07-13,5403,91.31,81.51
REC-19781894,2020-10-20,4091,88.71,63.95
REC-80517332,2023-09-26,8826,94.37,88.19
REC-34678492,2020-12-20,9620,86.52,75.32
REC-19150490,2023-07-16,9609,98.5,78.79
REC-31390345,2022-11-05,7886,90.52,62.78
REC-82890984,2023-03-16,6385,85.8,63.34
REC-64145722,2024-05-04,9825,98.24,71.85
REC-56896070,2023-09-03,6313,88.95,80.62
REC-38635863,2024-03-29,366,86.95,75.89
REC-54434998,2021-07-11,1123,99.75,75.4
REC-49402883,2021-10-09,4966,94.51,75.2
REC-92984217,2020-05-13,4671,92.48,68.87
REC-73734252,2024-02-20,9011,85.17,86.19
REC-25397719,2023-06-20,4077,96.15,72.52
REC-69816445,2024-02-28,5797,98.64,79.32
REC-96203262,2022-09-30,1435,99.24,88.9
REC-15352233,2020-05-01,5620,97.17,79.35
REC-61186964,2024-06-19,721,93.7,80.8
REC-61791391,2020-08-15,6664,88.26,72.47
REC-82509424,2020-03-11,8350,91.09,67.86
REC-13315946,2024-04-29,3871,90.79,81.23
REC-60326016,2023-12-20,2303,99.31,71.98
REC-78281335,2021-05-22,4885,98.91,75.5
REC-75337822,2024-07-16,6938,86.75,89.36
REC-49786693,2024-03-26,3361,87.2,62.44
REC-52991650,2020-12-10,6091,98.79,74.96
REC-21052218,2021-01-25,4889,95.59,68.13
REC-32467350,2022-06-17,6579,99.35,80.6
REC-81565674,2024-02-04,103,90.84,80.45
REC-94145533,2023-06-05,2154,87.88,69.87
REC-38290610,2020-08-28,1919,86.52,79.12
REC-66936428,2021-06-01,599,90.43,76.84
REC-37592422,2024-08-17,8350,97.33,65.39
REC-68416623,2023-10-29,3689,86.58,80.01
REC-30636590,2020-06-10,7842,99.54,71.65
REC-71636167,2024-01-04,8068,88.87,68.95
REC-15085015,2023-06-17,1727,96.08,98.97
REC-19831184,2020-02-21,8393,92.67,97.4
REC-33889703,2023-07-11,638,94.07,78.66
REC-84904794,2020-10-15,7990,87.81,72.83
REC-87170132,2024-01-13,8912,92.4,91.82
REC-44715141,2023-03-15,3277,86.17,86.49
REC-62080854,2023-07-22,6180,93.72,73.35
REC-94586329,2024-06-19,2440,98.67,90.43
REC-68119636,2020-02-28,6129,92.21,66.76
REC-12267067,2024-06-03,3555,96.45,70.53
REC-25878730,2023-08-08,2245,92.2,77.1
REC-10791740,2022-04-16,1763,98.16,73.61
REC-88598977,2019-11-08,8187,93.75,82.35
REC-19742790,2023-01-14,969,91.99,90.3
REC-77489633,2021-10-31,7060,86.42,84.08
REC-48901209,2019-09-11,8201,93.85,85.17
REC-91411889,2021-07-09,2900,86.4,98.93
REC-47784631,2024-08-02,9166,99.98,60.02
REC-61192463,2020-04-15,2583,94.4,76.63
REC-98680762,2020-01-20,9305,95.65,96.36
REC-73617549,2023-04-10,3214,98.59,76.84
REC-81600831,2022-08-07,5961,99.3,71.49
REC-28304809,2020-03-18,9004,97.29,76.66
REC-83245898,2024-04-09,828,93.88,78.9
REC-95100169,2020-03-07,5925,91.88,73.94
REC-50004466,2020-04-03,8847,85.57,96.52
REC-11496555,2023-09-07,8028,99.89,60.83
REC-26540343,2019-12-09,9781,93.5,76.66
REC-10675093,2022-02-09,1874,90.78,94.86
REC-82095327,2023-02-23,6891,91.84,92.04
REC-21425533,2021-03-14,1368,99.72,60.9
REC-38192821,2020-10-26,6803,95.42,97.07
REC-38418851,2023-03-31,5462,94.42,84.75
REC-96695458,2022-11-08,2139,98.69,87.91
REC-29120002,2022-12-03,7794,90.96,64.16
REC-34695085,2023-06-26,1968,95.99,79.46
REC-92796892,2022-11-17,8792,95.72,78.78
REC-36082023,2022-11-12,5418,97.75,96.42
REC-34341456,2020-05-08,1505,87.01,78.16
REC-83665549,2024-04-03,2295,93.42,72.26
REC-96526748,2020-10-19,6094,86.37,81.05
REC-49010740,2022-08-17,4260,98.05,97.77
REC-43646722,2020-09-04,439,94.42,97.16
REC-36496940,2021-03-09,9926,87.98,97.55
REC-54406060,2024-03-28,3251,97.67,74.06
REC-27208745,2023-01-05,927,90.72,89.22
REC-23427820,2024-03-02,4267,88.47,80.51
REC-93150000,2020-10-01,5272,88.55,70.63
REC-35970938,2021-07-24,5703,86.12,90.49
REC-75211190,2019-09-12,8599,98.37,73.72
REC-54069864,2019-11-11,4388,88.58,91.1
REC-88405961,2022-03-16,8060,85.96,94.64
REC-85907105,2023-08-10,6298,87.75,68.75
REC-52457517,2024-04-19,6997,86.35,78.38
REC-32634412,2023-04-11,8907,98.58,80.46
REC-52038976,2024-03-11,1669,89.78,62.73
REC-39732676,2022-11-23,6565,85.28,60.24
REC-47135338,2021-08-15,3712,87.06,80.13
REC-28026223,2021-10-09,8557,97.96,81.08
REC-74418331,2023-08-03,3895,88.61,96.45
REC-69774935,2022-08-12,7332,85.95,62.15
REC-50999730,2020-12-26,5011,95.34,72.94
REC-84044139,2022-01-05,416,99.46,62.22
REC-33591471,2021-04-09,7484,93.76,68.65
REC-47663633,2020-08-17,5488,90.98,93.16
REC-82292089,2019-12-11,7373,96.28,75.93
REC-45330756,2023-03-27,4592,99.78,75.9
REC-20120010,2019-10-20,4494,86.88,69.46
REC-78072320,2021-09-18,7821,91.12,68.5
REC-88100019,2021-06-03,260,92.15,76.74
REC-89193333,2020-03-29,2504,94.83,64.24
REC-14919926,2020-07-11,6725,94.37,80.58
REC-82943217,2019-12-15,2237,87.41,75.25
REC-73364719,2023-06-20,5745,89.31,87.96
REC-59099345,2020-01-31,1142,88.84,83.58
REC-39971710,2021-10-01,7911,94.82,64.42
REC-27969238,2020-01-17,5228,96.08,73.76
REC-77259613,2023-02-02,9126,87.55,66.05
REC-22153955,2023-05-27,5504,88.21,86.68
REC-58837208,2021-08-30,4931,99.67,99.12
REC-11421591,2024-04-04,3587,86.16,75.36
REC-92414513,2021-07-08,4642,86.47,83.65
REC-79006257,2020-02-24,3128,92.52,84.2
REC-69890694,2020-11-10,6145,91.61,97.92
REC-34044459,2023-12-15,8148,93.22,89.71
REC-74894729,2022-02-16,261,91.53,62.32
REC-15425057,2021-08-29,1284,96.37,95.51
REC-75450221,2024-07-26,2886,89.75,64.43
REC-18437082,2022-05-19,6291,95.98,82.67
REC-59584751,2024-07-31,8363,93.5,65.23
REC-15745651,2022-05-25,9291,85.52,93.52
REC-79509378,2021-09-07,9092,88.91,85.09
REC-62088975,2022-03-27,967,86.31,64.71
REC-71021210,2020-11-20,1816,85.76,95.58
REC-15355917,2024-02-07,9305,86.73,99.94
REC-23854626,2021-07-19,5345,93.58,92.6
REC-95035920,2023-03-09,9717,93.02,68.12
REC-45341684,2022-03-23,1301,88.13,82.15
REC-86525600,2022-01-03,5545,86.86,97.51
REC-60554391,2020-03-09,8682,87.33,81.88
REC-59029303,2024-05-27,2384,99.83,66.84
REC-79345320,2021-02-27,9064,90.09,63.94
REC-60509993,2023-04-21,7790,85.15,80.32
REC-79306247,2024-05-24,7877,93.91,83.29
REC-57365168,2023-11-19,9800,90.04,91.65
REC-75345452,2020-01-25,3350,90.51,78.22
REC-91095825,2022-08-07,3182,87.9,79.99
REC-77355419,2022-11-29,5166,87.15,74.87
REC-69042204,2024-02-17,4923,89.37,85.44
REC-40868838,2022-05-19,303,93.39,81.81
REC-79060560,2023-03-18,168,88.3,65.84
REC-38389345,2023-02-21,8575,94.93,72.9
REC-35086055,2020-12-08,8331,99.53,82.22
REC-58616740,2022-03-21,4374,97.08,70.93
REC-98732634,2022-11-14,3396,86.51,85.77
REC-65648506,2021-03-26,2181,90.2,76.63
REC-25212062,2024-03-30,2397,99.9,77.42
REC-74265413,2023-09-12,3530,96.18,80.57
REC-38280205,2021-09-19,2349,94.25,87.05
REC-96873663,2021-08-02,1686,85.33,85.14
REC-13012656,2022-03-24,6078,86.8,60.71
REC-15790734,2020-11-23,1765,89.72,75.06
REC-86972056,2023-08-10,541,94.62,87.99
REC-28082355,2020-02-28,8656,98.39,73.51
REC-15260108,2024-06-14,2612,95.63,61.56
REC-17504382,2023-03-07,8860,92.92,70.62
REC-44663022,2023-03-19,3523,90.36,85.08
REC-79342339,2024-05-29,9824,99.16,94.84
REC-90444404,2024-03-05,3261,99.3,80.81
REC-98817918,2020-10-22,5416,86.28,71.55
REC-21508969,2022-12-21,8018,99.8,79.01
REC-70291054,2021-09-25,3389,98.29,65.07
REC-74648438,2021-11-02,1239,86.36,89.56
REC-39442512,2021-05-25,1743,95.64,72.35
REC-90643207,2022-06-24,6353,90.11,97.31
REC-88201440,2020-05-04,1644,87.24,90.88
REC-93646063,2023-06-30,151,94.58,73.41
REC-45503367,2022-10-28,5242,98.12,89.46
REC-55992559,2020-06-15,478,85.95,98.59
REC-90065352,2024-03-23,1477,85.32,95.53
REC-40845084,2021-04-15,7864,98.41,71.6
REC-61735818,2020-02-09,2243,90.61,73.85
REC-24572034,2021-12-14,3026,94.23,99.28
REC-37158762,2022-11-16,3492,88.39,91.59
REC-77693989,2020-01-02,4545,93.11,76.94
REC-30073763,2020-04-15,6121,85.7,65.1
REC-33813202,2021-04-08,6911,96.29,75.5
REC-92510102,2024-08-31,6300,86.6,85.93
REC-81327320,2024-06-03,4440,93.59,71.98
REC-25772785,2021-07-07,4451,98.79,75.6
REC-74725282,2023-09-30,9759,97.3,67.79
REC-90996996,2021-06-11,4830,94.72,88.95
REC-10161088,2022-07-02,5082,99.79,92.01
REC-80067590,2022-03-31,4120,95.99,89.16
REC-59711219,2019-10-19,5917,86.42,69.07
REC-81110769,2021-06-21,725,95.9,68.7
REC-40801123,2021-04-14,6889,96.83,66.34
REC-61168696,2020-08-31,131,95.24,80.18
REC-89060695,2023-09-28,6834,85.08,66.09
REC-67108220,2021-09-24,7492,85.53,93.06
REC-44160831,2021-05-29,5447,97.11,66.74
REC-41207351,2023-01-16,7924,95.94,93.38
REC-48019408,2021-09-14,9902,96.88,74.82
REC-64847632,2024-05-13,3166,85.43,89.12
REC-35369971,2022-05-28,6191,95.56,81.75
REC-10954835,2022-01-28,4834,86.23,79.63
REC-25814687,2022-11-27,2978,97.28,81.94
REC-10965569,2023-08-20,5962,87.36,69.02
REC-97851693,2024-03-16,6446,86.5,65.94
REC-52399610,2022-09-22,5095,94.22,65.9
REC-58623028,2022-04-17,4356,92.32,89.25
REC-30774029,2021-11-22,5044,93.82,90.14
REC-97453041,2022-09-23,6055,99.0,77.07
REC-45071480,2024-01-12,1118,85.4,74.61
REC-66849468,2023-11-24,9024,87.17,91.8
REC-92125234,2023-08-19,7263,90.83,80.02
REC-63345392,2020-07-04,4417,92.46,92.72
REC-65462544,2023-08-30,7025,88.52,95.1
REC-33987338,2022-05-23,3329,86.28,74.29
REC-85040303,2021-05-25,3353,97.15,70.99
REC-44061458,2022-10-27,7983,86.29,83.92
REC-87531025,2022-05-01,2666,88.73,75.9
REC-63436070,2023-03-11,1548,98.0,82.07
REC-98487446,2020-01-22,9622,91.82,64.27
REC-40839382,2024-06-14,4380,97.11,76.69
REC-31715773,2021-07-20,2022,86.57,72.55
REC-38784084,2020-11-28,5136,95.7,86.81
REC-63762374,2019-10-22,8421,91.01,76.2
REC-83897088,2021-11-20,6375,90.83,70.38
REC-31573890,2024-05-17,4442,92.4,92.5
REC-95345915,2024-08-20,631,87.06,85.21
REC-22225702,2024-08-05,3575,92.55,70.92
REC-73306295,2023-03-22,1816,94.82,61.69
REC-21830043,2022-03-07,5329,98.22,99.66
REC-45311610,2020-12-18,8875,93.7,96.94
REC-59772648,2021-05-03,4657,91.85,93.72
REC-91742470,2022-06-22,982,87.75,66.94
REC-61583363,2021-08-16,6572,92.14,97.11
REC-92405066,2022-11-25,2325,97.99,89.87
REC-48449249,2024-07-07,7253,94.46,97.36
REC-33524492,2021-10-04,5122,97.84,93.48
REC-68917831,2023-12-01,2037,86.6,87.3
REC-37072687,2024-05-08,4771,98.4,97.99
REC-48387144,2022-07-16,1046,90.53,69.89
REC-14510970,2021-11-09,9096,98.15,63.93
REC-79231333,2023-10-29,6903,87.77,80.14
REC-92569402,2023-11-04,2162,92.59,79.52
REC-14840043,2023-08-03,2717,86.86,98.65
REC-42112480,2021-02-05,8401,92.08,84.33
REC-31131878,2022-08-31,588,91.63,65.18
REC-47035619,2021-02-08,5729,87.35,82.45
REC-57395992,2020-11-09,4783,92.91,79.1
REC-64418707,2024-04-26,7926,94.41,61.82
REC-79490249,2023-10-28,8557,88.59,77.6
REC-19209640,2021-03-26,2119,85.55,79.58
REC-83765077,2024-04-12,1702,94.35,99.9
REC-85042992,2020-03-02,1963,96.42,80.65
REC-56637316,2024-02-15,7917,95.14,80.75
REC-40372869,2019-12-16,3966,91.12,92.24
REC-71036720,2020-04-19,8252,87.99,91.27
REC-87162674,2020-01-30,8902,87.57,95.5
REC-45045256,2019-09-21,5625,96.55,97.88
REC-64644684,2023-03-06,1272,98.12,85.4
REC-24289484,2020-11-02,5901,94.43,87.12
REC-77534222,2021-08-21,6666,92.4,85.23
REC-55629449,2020-03-31,2225,89.71,73.2
REC-78892172,2020-12-14,3145,88.75,74.48
REC-82196170,2019-09-30,6209,90.64,87.67
REC-69427400,2021-07-12,1445,85.52,79.55
REC-85587210,2023-12-21,3511,92.95,98.7
REC-42651583,2023-07-19,4246,87.96,97.09
REC-71585593,2022-11-04,4962,88.95,67.13
REC-88762521,2020-03-07,6489,87.18,84.14
REC-74688940,2023-10-12,8487,96.75,94.4
REC-44603983,2023-10-26,5745,89.09,85.88
REC-61361533,2019-10-20,9737,94.77,67.8
REC-40860700,2019-09-22,6847,92.35,74.56
REC-65354876,2024-03-12,8549,97.76,63.95
REC-79324022,2024-05-11,3451,94.71,71.02
REC-11305024,2023-03-02,1974,89.02,72.07
REC-43320572,2019-10-08,568,92.91,96.1
REC-22483514,2019-10-23,2322,85.98,79.95
REC-55901507,2024-03-03,6521,97.96,85.28
REC-84430642,2022-01-02,4202,92.08,66.92
REC-73962190,2024-03-23,4288,92.3,90.33
REC-57451057,2022-02-08,9085,91.41,92.58
REC-87002404,2019-10-25,3291,96.34,66.57
REC-34532913,2023-12-10,3517,98.8,82.57
REC-76974557,2023-05-01,5894,89.84,77.32
REC-41522559,2021-03-11,5487,98.8,96.57
REC-45622106,2020-07-30,5331,91.05,85.35
REC-40763714,2020-06-27,8291,92.16,68.62
REC-43513553,2024-02-17,8281,95.11,92.25
REC-30937370,2020-12-07,6187,85.36,97.57
REC-26089818,2021-09-19,4653,94.12,67.77
REC-99043272,2021-04-20,111,97.69,88.04
REC-92386462,2024-02-23,8797,92.22,99.84
REC-82675403,2021-10-25,8112,93.24,91.17
REC-74732147,2022-09-07,2601,90.18,61.87
REC-93304578,2021-12-10,8202,97.39,84.62
REC-76080806,2023-01-17,4220,99.41,63.65
REC-75874779,2020-05-04,7879,95.36,68.33
REC-78603195,2022-11-04,2492,85.84,89.98
REC-63402482,2023-02-14,458,88.97,97.17
REC-87398691,2023-07-29,3818,98.32,88.16
REC-17267644,2024-06-22,4039,90.26,93.45
REC-66797703,2021-09-26,7067,86.97,65.95
REC-82580645,2021-08-03,4058,85.47,69.29
REC-77441081,2022-03-21,954,90.65,91.29
REC-62843790,2020-05-09,9967,88.76,61.51
REC-71363812,2019-12-09,1870,91.92,98.19
REC-79552316,2020-06-18,5713,91.74,97.02
REC-52365995,2023-02-12,845,90.55,77.15
REC-11586450,2022-11-23,4302,88.7,96.22
REC-60925964,2022-11-16,985,93.88,98.18
REC-53679307,2024-05-15,4433,94.99,70.86
REC-92245683,2023-09-19,751,96.38,67.94
REC-35119175,2020-02-23,7128,93.66,90.67
REC-45279000,2019-10-01,1644,90.32,78.64
REC-46159360,2021-02-15,5452,92.77,97.2
REC-92286747,2020-05-15,2403,97.09,88.59
REC-59113508,2023-12-03,1229,90.73,61.23
REC-76943778,2023-05-12,3174,94.04,97.5
REC-38257191,2022-06-27,8678,93.53,91.1
REC-59970552,2024-06-25,9781,86.19,88.64
REC-63766628,2020-06-24,7997,85.03,67.08
REC-70495821,2024-02-28,2740,86.55,85.02
REC-86693314,2020-01-12,2836,93.18,94.49
REC-87295013,2021-08-15,3872,89.07,73.42
REC-23404289,2021-06-19,4748,92.81,64.03
REC-41649234,2024-06-27,2174,85.08,89.44
REC-61121302,2023-09-18,8856,97.92,63.82
REC-29574814,2021-12-22,7557,99.65,89.03
REC-73483243,2020-01-24,1532,88.28,63.78
REC-33703827,2020-04-19,3828,94.39,92.91
REC-77054885,2022-01-20,155,85.21,60.42
REC-94644676,2024-04-15,5231,92.86,63.14
REC-81669929,2024-06-17,9223,97.91,60.24
REC-75313057,2019-12-13,1716,98.33,96.52
REC-43685164,2021-03-12,8781,95.82,83.64
REC-63472598,2022-05-06,2638,93.45,92.57
REC-31923376,2019-10-20,2955,91.83,86.11
REC-38919534,2021-06-06,6169,99.55,84.97
REC-73960038,2024-08-29,8957,89.88,71.31
REC-70378491,2020-11-22,2986,90.46,79.85
REC-44865621,2023-01-21,1782,87.18,72.02
REC-58359530,2020-04-28,5967,86.11,66.51
REC-56189726,2022-03-19,1827,85.17,98.23
REC-65265613,2021-01-18,6914,86.57,71.66
REC-57122567,2024-06-19,5313,99.81,89.85
REC-87424000,2021-09-18,2104,86.34,95.54
REC-33426205,2024-06-27,8857,99.86,91.38
REC-57661928,2022-12-24,5626,96.47,66.94
REC-78510704,2024-04-07,1177,94.48,98.88
REC-69985944,2022-06-28,9420,90.88,77.89
REC-61146483,2022-12-07,2255,89.5,92.59
REC-72243750,2020-11-09,2579,94.03,92.76
REC-32491607,2020-05-02,1208,88.88,75.18
REC-66615250,2023-12-05,1358,89.66,75.11
REC-19575640,2022-08-11,5334,97.41,98.49
REC-31743203,2020-02-15,8352,95.84,86.78
REC-40630893,2020-07-01,1605,90.28,92.49
REC-52530677,2023-05-21,7300,95.43,98.59
REC-45899536,2021-08-23,8541,88.48,65.69
REC-46406303,2020-04-25,6500,91.75,82.92
REC-58743159,2022-07-26,9073,86.83,68.55
REC-70436720,2023-01-16,7640,86.46,69.19
REC-32457056,2022-06-12,2787,99.83,94.95
REC-13100576,2019-12-03,7965,93.28,70.07
REC-41491128,2021-12-29,1349,93.38,91.06
REC-20746107,2023-07-02,7462,90.47,73.95
REC-32402343,2023-11-04,2521,85.38,89.01
REC-23825676,2021-08-10,1427,87.68,94.23
REC-18562070,2022-09-11,8160,92.71,72.28
REC-83609531,2024-05-16,9415,97.66,84.96
REC-13538638,2022-11-11,1477,89.83,93.21
REC-80327779,2023-05-05,5714,86.0,69.88
REC-23949034,2021-04-01,4664,92.57,76.97
REC-92960269,2024-08-26,5694,90.52,80.25
REC-21316066,2022-11-25,8897,91.28,93.8
REC-51523026,2020-05-25,1171,90.72,81.19
REC-43204998,2022-03-07,7312,85.84,80.57
REC-69479985,2021-10-06,332,87.63,77.77
REC-27619715,2020-04-17,8091,95.83,97.99
REC-32898616,2020-05-13,7616,93.08,73.9
REC-14718421,2021-12-12,7529,91.51,88.52
REC-53647781,2020-12-24,7494,85.53,67.6
REC-72705646,2022-11-25,6185,85.54,69.33
REC-46562845,2020-12-24,2371,99.02,90.22
REC-69706076,2022-12-25,4083,89.74,81.01
REC-82381952,2022-05-12,2009,91.69,91.59
REC-89299984,2022-09-26,9509,92.58,94.78
REC-94697764,2020-07-29,3809,97.16,99.7
REC-80257585,2020-06-12,6507,91.6,76.22
REC-51562039,2019-09-18,825,89.12,67.21
REC-74646194,2022-04-16,4326,97.24,95.68
REC-40484663,2023-06-14,1039,86.29,97.53
REC-69305486,2022-09-24,3218,85.07,61.33
REC-59094606,2021-12-18,4569,97.15,63.54
REC-44870711,2020-07-15,8799,94.9,97.22
REC-50744867,2020-10-17,4993,95.36,96.36
REC-10012394,2020-05-30,9948,87.76,80.61
REC-28293937,2021-04-06,4270,93.78,65.16
REC-48488577,2023-05-03,2185,93.45,96.64
REC-81819757,2023-06-27,5386,91.09,68.98
REC-76025948,2024-05-28,6463,87.28,91.21
REC-50213043,2024-05-21,3984,99.56,79.75
REC-67772049,2024-01-11,5618,95.63,69.26
REC-90128487,2023-02-20,1386,86.67,63.54
REC-10968781,2020-07-18,535,92.73,74.12
REC-60149632,2019-11-22,4843,93.83,95.41
REC-65262252,2020-06-06,5037,95.15,61.76
REC-62982727,2022-09-05,6701,90.69,91.9
REC-31913660,2024-05-19,1506,86.74,67.84
REC-60782359,2020-06-17,3415,93.18,63.16
REC-45296615,2022-06-05,8686,98.57,90.56
REC-66672010,2022-12-11,1478,87.63,67.88
REC-79338228,2019-10-10,7081,85.83,62.92
REC-48208680,2022-02-24,2507,94.91,91.29
REC-46080681,2023-03-10,1452,98.72,68.67
REC-35233016,2022-12-19,7621,90.86,62.53
REC-34482277,2020-05-22,7432,93.03,82.83
REC-48868823,2024-06-05,8571,90.64,90.91
REC-95482292,2021-09-25,1161,92.25,99.87
REC-92910238,2024-07-14,2686,90.16,74.41
REC-46525224,2024-02-07,6600,85.33,79.6
REC-35204672,2021-02-09,2113,87.0,89.44
REC-12603206,2022-11-27,3118,95.02,95.08
REC-16661503,2021-02-09,5816,87.5,91.18
REC-12970357,2020-11-06,765,93.54,79.52
REC-23726915,2021-12-15,126,89.34,64.48
REC-46130759,2022-03-25,2508,99.28,74.23
REC-68843284,2021-12-13,9455,94.49,86.57
REC-41247296,2023-11-12,375,85.04,89.51
REC-30224423,2020-11-28,6005,95.84,93.36
REC-76247126,2020-03-16,8189,96.3,89.01
REC-55890766,2021-02-02,2727,88.11,86.62
REC-51819114,2023-05-14,3259,85.02,97.57
REC-59848072,2022-01-06,3892,95.46,81.45
REC-14259684,2023-04-02,1624,85.18,71.05
REC-20767361,2022-03-21,7860,91.18,82.87
REC-17521339,2023-10-15,7471,90.48,77.93
REC-62669959,2020-04-27,6040,86.32,80.2
REC-82905989,2022-09-27,3804,89.89,82.72
REC-34374441,2021-10-23,4802,99.06,73.51
REC-43565097,2021-10-07,4140,95.0,66.98
REC-11693222,2023-11-20,7043,88.93,79.77
REC-43415162,2021-05-01,2943,87.07,97.05
REC-69453211,2023-07-25,5737,92.65,87.11
REC-14497675,2020-07-30,2192,98.9,69.39
REC-71852177,2020-10-26,8273,93.74,82.46
REC-79946108,2022-04-05,8008,89.68,99.46
REC-73461570,2019-09-23,3574,87.11,72.59
REC-51890609,2023-01-13,372,94.71,73.15
REC-31288466,2022-06-30,9341,97.47,91.68
REC-83763371,2022-11-25,1722,88.0,66.01
REC-26393556,2022-06-21,825,98.23,68.44
REC-74589542,2023-05-31,9126,88.89,97.38
REC-36672234,2022-07-07,6180,99.54,92.1
REC-16991067,2023-05-01,1451,88.62,88.5
REC-25157001,2020-10-28,3498,95.52,68.41
REC-94947603,2022-03-23,264,88.44,93.14
REC-53555463,2022-05-25,2192,87.17,77.54
REC-32462726,2021-05-18,1993,89.09,95.43
REC-88476684,2023-09-29,603,95.84,71.46
REC-63124490,2022-05-05,8925,89.81,85.93
REC-11198544,2021-03-06,723,88.95,76.31
REC-87990837,2023-01-21,408,85.35,65.53
REC-90022258,2022-05-20,3851,96.56,88.81
REC-59848284,2022-02-23,4303,89.05,79.31
REC-43382936,2023-11-05,540,93.11,91.4
REC-77098020,2024-07-26,6691,91.67,88.73
REC-93033107,2021-09-24,5601,99.14,73.28
REC-93903841,2022-06-10,2330,94.83,84.61
REC-18022882,2022-11-13,6117,89.79,60.51
REC-96513378,2022-01-19,542,87.95,74.97
REC-81988124,2023-01-04,4173,91.66,71.21
REC-26888275,2022-10-10,4246,98.21,66.99
REC-41229060,2020-08-20,4258,98.41,87.57
REC-84940527,2024-06-18,4175,85.67,63.62
REC-68883853,2021-05-14,7524,88.39,82.34
REC-12865928,2024-04-23,1748,85.78,75.29
REC-58072427,2021-03-14,7915,92.12,70.8
REC-43647879,2024-05-07,8805,95.37,91.29
REC-75136149,2019-11-24,7176,88.22,92.57
REC-85031037,2023-08-06,7183,99.2,90.9
REC-82844534,2021-06-14,9288,89.21,61.96
REC-35471281,2023-05-26,5371,89.81,60.47
REC-82963514,2022-02-23,4601,94.48,98.34
REC-53443711,2020-04-03,2273,99.66,91.49
REC-46953423,2023-02-24,7911,92.08,90.1
REC-19244458,2023-12-01,9605,91.1,79.76
REC-30807167,2020-11-07,9741,90.07,89.06
REC-49684512,2022-03-30,6806,92.51,84.01
REC-82693120,2021-09-22,8804,96.69,68.91
REC-70945449,2021-10-26,4897,85.46,88.17
REC-95634408,2020-12-23,5807,91.78,70.86
REC-60874366,2023-04-08,8539,92.2,85.02
REC-12512536,2022-11-16,5177,93.91,85.82
REC-93241474,2020-04-18,2776,88.04,73.03
REC-53042832,2023-06-28,4091,92.47,76.6
REC-98354109,2023-09-29,2065,95.05,72.21
REC-62008140,2024-08-14,9649,89.32,63.98
REC-80339453,2023-01-29,9477,93.31,70.45
REC-84016756,2024-03-19,4758,98.5,74.23
REC-92280734,2023-12-23,2589,96.6,93.2
REC-53298644,2023-03-24,1697,95.72,70.11
REC-96020669,2024-04-17,116,92.5,63.94
REC-24826245,2019-12-25,1724,96.79,74.94
REC-80222787,2022-09-23,6959,97.37,89.68
REC-15875684,2024-03-27,2777,88.68,82.91
REC-33976493,2020-05-23,5056,98.24,91.44
REC-37122588,2020-08-06,8459,95.97,89.11
REC-75145297,2021-10-12,9509,94.7,76.98
REC-23254482,2022-09-08,198,87.86,82.31
REC-86639957,2021-01-30,7271,94.49,87.66
REC-98304696,2020-01-17,1279,98.85,93.65
REC-80574548,2024-06-16,7042,89.08,70.79
REC-16588161,2023-01-25,1303,99.6,97.68
REC-39624910,2022-06-28,162,93.34,66.93
REC-11756387,2023-05-01,5207,97.44,86.03
REC-98013189,2020-07-27,2970,95.77,79.13
REC-20731620,2019-10-04,8791,90.12,99.63
REC-95753950,2020-07-04,2995,85.58,65.68
REC-58442674,2021-11-13,2061,90.06,98.22
REC-59535555,2021-07-22,4091,90.96,86.43
REC-92803389,2024-01-05,6847,98.27,79.15
REC-81003974,2024-01-30,6494,92.56,98.23
REC-19447334,2024-05-31,2903,88.34,82.79
REC-20460308,2024-08-09,330,97.46,91.85
REC-79724133,2024-07-24,7849,88.54,90.72
REC-23586205,2021-07-19,1181,88.93,76.79
REC-81358338,2023-06-17,1051,95.55,92.53
REC-35428946,2022-11-07,3051,96.09,99.57
REC-80624297,2022-12-30,5798,90.65,68.38
REC-86507818,2023-08-10,7620,90.69,81.24
REC-84950330,2023-12-04,4385,90.72,97.09
