record_id,date,returns,customer_complaints,shipping_time_days,delivery_accuracy,transportation_costs
REC-19150490,2023-07-16,50,49,1.46,90.68,1615.89
REC-31390345,2022-11-05,46,29,1.9,97.87,3147.5
REC-82890984,2023-03-16,5,39,2.05,99.46,1739.4
REC-64145722,2024-05-04,20,45,6.79,92.64,3558.97
REC-56896070,2023-09-03,70,43,6.31,90.42,2201.98
REC-38635863,2024-03-29,48,19,3.7,91.37,6722.59
REC-54434998,2021-07-11,15,35,6.02,95.48,1106.85
REC-49402883,2021-10-09,44,46,4.33,94.49,1915.0
REC-92984217,2020-05-13,8,43,3.96,90.51,460.48
REC-73734252,2024-02-20,0,0,3.69,97.92,9049.36
REC-25397719,2023-06-20,83,4,3.65,97.58,5143.15
REC-69816445,2024-02-28,38,3,2.1,93.34,6895.13
REC-96203262,2022-09-30,99,45,2.57,90.63,7932.48
REC-15352233,2020-05-01,86,17,3.17,90.46,9706.23
REC-61186964,2024-06-19,16,14,5.89,91.13,4694.49
REC-61791391,2020-08-15,59,12,4.17,99.72,8179.31
REC-82509424,2020-03-11,79,23,6.26,98.65,1869.86
REC-13315946,2024-04-29,5,36,6.61,97.3,3792.39
REC-60326016,2023-12-20,34,0,3.65,99.53,4641.03
REC-78281335,2021-05-22,55,13,6.35,95.02,7819.85
REC-75337822,2024-07-16,69,26,5.63,98.77,9137.75
REC-49786693,2024-03-26,7,6,2.24,94.53,2849.72
REC-52991650,2020-12-10,66,30,2.2,91.77,8013.56
REC-21052218,2021-01-25,21,17,2.16,94.22,7037.14
REC-32467350,2022-06-17,85,13,4.93,91.72,1172.57
REC-81565674,2024-02-04,83,35,1.14,99.72,9653.97
REC-94145533,2023-06-05,72,7,5.1,91.94,8438.31
REC-38290610,2020-08-28,21,33,1.53,92.02,1116.26
REC-66936428,2021-06-01,51,16,4.57,96.15,7247.15
REC-37592422,2024-08-17,12,6,6.92,91.77,5719.44
REC-68416623,2023-10-29,66,8,3.81,99.16,7713.06
REC-30636590,2020-06-10,96,3,5.24,94.06,3369.93
REC-71636167,2024-01-04,91,10,2.35,92.47,7895.16
REC-15085015,2023-06-17,33,22,4.26,99.58,6319.4
REC-19831184,2020-02-21,30,45,2.95,94.15,2802.34
REC-33889703,2023-07-11,19,28,1.61,91.89,8031.89
REC-84904794,2020-10-15,17,44,2.9,95.16,6896.93
REC-87170132,2024-01-13,47,42,6.88,93.02,864.52
REC-44715141,2023-03-15,6,36,1.55,94.14,9202.16
REC-62080854,2023-07-22,72,0,6.34,93.91,861.61
REC-94586329,2024-06-19,26,19,1.58,99.64,8948.93
REC-68119636,2020-02-28,57,47,4.87,91.38,2310.9
REC-12267067,2024-06-03,47,39,4.86,96.06,2185.18
REC-25878730,2023-08-08,31,1,2.2,95.24,4526.6
REC-10791740,2022-04-16,88,2,1.36,93.09,1828.32
REC-88598977,2019-11-08,86,5,2.53,90.67,6540.17
REC-19742790,2023-01-14,63,36,6.98,91.01,8825.46
REC-77489633,2021-10-31,89,6,5.89,96.7,9895.22
REC-48901209,2019-09-11,41,42,1.71,92.46,363.91
REC-91411889,2021-07-09,5,37,4.86,90.33,9611.62
REC-47784631,2024-08-02,35,9,5.19,91.03,2727.33
REC-61192463,2020-04-15,87,9,5.62,95.18,6096.8
REC-98680762,2020-01-20,74,4,2.55,94.35,2174.5
REC-73617549,2023-04-10,22,43,4.47,94.74,8611.99
REC-81600831,2022-08-07,7,26,6.93,96.99,3861.36
REC-28304809,2020-03-18,59,21,2.38,97.98,952.67
REC-83245898,2024-04-09,47,43,3.34,94.03,5008.67
REC-95100169,2020-03-07,33,19,6.17,92.18,1118.94
REC-50004466,2020-04-03,38,39,4.62,91.24,6634.77
REC-11496555,2023-09-07,8,22,1.16,91.27,4602.09
REC-26540343,2019-12-09,8,28,6.59,90.45,6202.54
REC-10675093,2022-02-09,61,41,4.86,91.67,6736.07
REC-82095327,2023-02-23,18,9,5.92,90.3,3026.3
REC-21425533,2021-03-14,4,32,2.57,97.61,5148.92
REC-38192821,2020-10-26,55,16,1.68,93.43,6483.55
REC-38418851,2023-03-31,30,6,3.45,94.43,2598.21
REC-96695458,2022-11-08,52,47,5.35,90.11,8196.63
REC-29120002,2022-12-03,20,28,1.17,99.7,224.39
REC-34695085,2023-06-26,74,37,3.98,90.7,5485.12
REC-92796892,2022-11-17,15,8,5.22,99.01,6219.45
REC-36082023,2022-11-12,26,41,3.47,91.18,6274.12
REC-34341456,2020-05-08,11,26,2.07,93.67,6260.15
REC-83665549,2024-04-03,87,47,5.93,94.69,2199.11
REC-96526748,2020-10-19,61,37,5.51,91.67,1074.1
REC-49010740,2022-08-17,78,5,3.38,98.81,6543.27
REC-43646722,2020-09-04,29,27,4.91,98.9,9140.22
REC-36496940,2021-03-09,28,38,4.31,98.21,6365.35
REC-54406060,2024-03-28,25,11,5.13,92.53,9099.3
REC-27208745,2023-01-05,40,14,5.21,91.31,6916.06
REC-23427820,2024-03-02,70,6,5.0,90.78,6313.37
REC-93150000,2020-10-01,5,34,4.5,92.58,2357.14
REC-35970938,2021-07-24,58,19,5.08,91.53,2338.85
REC-75211190,2019-09-12,93,40,4.48,98.9,328.38
REC-54069864,2019-11-11,11,49,3.73,98.35,2718.44
REC-88405961,2022-03-16,26,16,3.44,90.21,6660.72
REC-85907105,2023-08-10,61,41,5.88,92.4,3159.49
REC-52457517,2024-04-19,45,1,5.62,97.44,8449.22
REC-32634412,2023-04-11,28,25,1.62,99.59,9680.01
REC-52038976,2024-03-11,63,28,6.12,94.06,900.89
REC-39732676,2022-11-23,12,39,1.96,98.0,3393.64
REC-47135338,2021-08-15,69,4,5.93,97.0,1909.94
REC-28026223,2021-10-09,15,39,1.26,99.54,8085.56
REC-74418331,2023-08-03,27,4,1.26,97.7,1777.67
REC-69774935,2022-08-12,55,25,5.57,98.66,2925.24
REC-50999730,2020-12-26,43,19,3.86,95.98,391.59
REC-84044139,2022-01-05,0,14,1.41,98.82,2841.18
REC-33591471,2021-04-09,42,3,4.02,97.25,8285.97
REC-47663633,2020-08-17,52,47,2.37,91.35,7151.12
REC-82292089,2019-12-11,57,28,3.35,99.28,1324.62
REC-45330756,2023-03-27,64,2,5.16,90.72,1567.5
REC-20120010,2019-10-20,85,38,3.26,93.45,8327.05
REC-78072320,2021-09-18,70,6,3.07,98.07,8979.54
REC-88100019,2021-06-03,24,6,3.45,91.52,9794.38
REC-89193333,2020-03-29,27,45,3.69,99.68,4694.9
REC-14919926,2020-07-11,60,33,1.72,99.23,6661.2
REC-82943217,2019-12-15,39,0,2.09,93.47,742.71
REC-73364719,2023-06-20,10,10,6.1,90.0,9259.27
REC-59099345,2020-01-31,28,5,4.27,93.48,7057.67
REC-39971710,2021-10-01,99,35,1.22,92.3,2456.33
REC-27969238,2020-01-17,27,7,1.74,93.52,9381.9
REC-77259613,2023-02-02,25,23,3.77,94.7,2771.99
REC-22153955,2023-05-27,20,29,6.93,90.16,4169.5
REC-58837208,2021-08-30,95,37,4.96,93.34,6571.79
REC-11421591,2024-04-04,57,20,3.2,90.94,8217.59
REC-92414513,2021-07-08,66,22,5.97,98.5,8508.5
REC-79006257,2020-02-24,64,9,5.7,97.0,7165.59
REC-69890694,2020-11-10,35,7,5.75,99.83,4705.62
REC-34044459,2023-12-15,22,31,3.16,92.88,3434.5
REC-74894729,2022-02-16,54,0,4.15,91.81,2878.0
REC-15425057,2021-08-29,65,11,3.13,96.49,5885.85
REC-75450221,2024-07-26,33,26,3.49,96.15,2667.25
REC-18437082,2022-05-19,41,37,6.46,91.36,7235.07
REC-59584751,2024-07-31,24,24,6.06,95.53,7280.12
REC-15745651,2022-05-25,17,46,5.02,91.49,5020.8
REC-79509378,2021-09-07,12,38,1.62,99.31,5728.24
REC-62088975,2022-03-27,66,15,6.92,91.38,677.33
REC-71021210,2020-11-20,54,41,4.35,95.33,449.1
REC-15355917,2024-02-07,35,1,1.54,97.66,9200.31
REC-23854626,2021-07-19,1,48,1.04,93.96,2455.81
REC-95035920,2023-03-09,11,16,1.51,94.39,2672.18
REC-45341684,2022-03-23,40,49,3.97,98.13,8498.81
REC-86525600,2022-01-03,43,29,4.74,95.25,2156.71
REC-60554391,2020-03-09,99,42,6.62,99.22,7277.46
REC-59029303,2024-05-27,16,28,4.24,99.09,164.41
REC-79345320,2021-02-27,28,35,2.09,99.7,3006.68
REC-60509993,2023-04-21,35,31,1.54,97.11,3918.58
REC-79306247,2024-05-24,98,46,3.57,99.64,6565.35
REC-57365168,2023-11-19,4,28,1.22,92.16,2918.08
REC-75345452,2020-01-25,40,24,5.13,97.6,8561.65
REC-91095825,2022-08-07,27,16,5.19,91.71,354.24
REC-77355419,2022-11-29,83,49,6.32,94.18,4953.0
REC-69042204,2024-02-17,39,26,2.21,90.38,809.01
REC-40868838,2022-05-19,77,35,3.04,95.43,5571.75
REC-79060560,2023-03-18,54,22,4.76,91.75,7354.76
REC-38389345,2023-02-21,47,5,5.11,92.63,9593.41
REC-35086055,2020-12-08,87,20,4.33,91.27,6179.22
REC-58616740,2022-03-21,95,29,5.02,91.21,9232.72
REC-98732634,2022-11-14,14,39,6.07,98.98,2863.97
REC-65648506,2021-03-26,83,40,6.61,98.79,6637.23
REC-25212062,2024-03-30,66,26,2.66,99.35,6291.96
REC-74265413,2023-09-12,4,5,5.08,94.24,6805.65
REC-38280205,2021-09-19,82,34,6.03,91.69,2061.27
REC-96873663,2021-08-02,6,2,4.3,95.62,322.21
REC-13012656,2022-03-24,5,25,3.64,95.24,8611.89
REC-15790734,2020-11-23,67,39,3.58,99.05,755.07
REC-86972056,2023-08-10,73,8,2.14,93.17,1013.72
REC-28082355,2020-02-28,80,11,5.04,95.74,6223.62
REC-15260108,2024-06-14,33,42,2.3,94.83,4078.29
REC-17504382,2023-03-07,53,40,5.44,92.8,4985.39
REC-44663022,2023-03-19,30,33,5.85,90.5,8862.79
REC-79342339,2024-05-29,28,18,2.57,92.45,7372.08
REC-90444404,2024-03-05,44,48,1.18,95.67,6026.14
REC-98817918,2020-10-22,70,27,2.35,93.61,4533.31
REC-21508969,2022-12-21,84,13,1.48,97.52,8708.44
REC-70291054,2021-09-25,24,1,5.01,95.07,9056.88
REC-74648438,2021-11-02,18,3,4.83,98.04,6910.04
REC-39442512,2021-05-25,60,12,5.5,99.06,4435.49
REC-90643207,2022-06-24,80,3,4.33,90.29,4672.16
REC-88201440,2020-05-04,78,21,4.17,93.45,7861.28
REC-93646063,2023-06-30,43,4,6.67,91.62,7558.5
REC-45503367,2022-10-28,70,14,2.36,91.28,4877.84
REC-55992559,2020-06-15,98,2,1.46,95.82,8969.66
REC-90065352,2024-03-23,99,8,3.17,97.34,3573.48
REC-40845084,2021-04-15,99,17,4.08,90.88,3590.95
REC-61735818,2020-02-09,38,0,2.3,92.67,1788.94
REC-24572034,2021-12-14,9,10,6.88,90.88,8240.08
REC-37158762,2022-11-16,7,41,6.89,90.12,4927.23
REC-77693989,2020-01-02,33,27,6.26,98.29,5365.21
REC-30073763,2020-04-15,2,42,3.45,97.63,1336.6
REC-33813202,2021-04-08,72,10,4.94,98.34,6403.19
REC-92510102,2024-08-31,42,19,5.1,92.61,1168.32
REC-81327320,2024-06-03,67,43,4.72,91.92,2232.2
REC-25772785,2021-07-07,39,28,6.71,99.35,3555.17
REC-74725282,2023-09-30,82,21,5.94,97.42,7074.24
REC-90996996,2021-06-11,34,7,4.28,96.7,6178.65
REC-10161088,2022-07-02,75,3,3.95,96.87,9239.52
REC-80067590,2022-03-31,94,20,3.21,99.17,4291.05
REC-59711219,2019-10-19,58,48,1.86,99.72,5259.04
REC-81110769,2021-06-21,7,36,6.43,91.51,521.27
REC-40801123,2021-04-14,97,19,2.32,97.26,387.02
REC-61168696,2020-08-31,9,47,6.58,97.16,7781.02
REC-89060695,2023-09-28,95,7,6.96,95.91,1330.73
REC-67108220,2021-09-24,98,22,6.06,91.76,3108.15
REC-44160831,2021-05-29,66,46,2.88,96.67,1958.24
REC-41207351,2023-01-16,50,23,1.02,97.11,5693.05
REC-48019408,2021-09-14,32,37,6.87,98.73,1164.98
REC-64847632,2024-05-13,83,36,2.06,94.04,1647.27
REC-35369971,2022-05-28,5,26,4.02,93.57,2737.98
REC-10954835,2022-01-28,90,42,6.53,92.05,1112.51
REC-25814687,2022-11-27,89,11,2.78,92.06,8981.16
REC-10965569,2023-08-20,81,42,3.7,99.81,7969.26
REC-97851693,2024-03-16,0,23,6.53,98.23,9642.99
REC-52399610,2022-09-22,81,30,4.55,97.74,2387.62
REC-58623028,2022-04-17,80,41,2.0,94.83,6964.79
REC-30774029,2021-11-22,36,26,1.94,97.09,6560.92
REC-97453041,2022-09-23,58,45,6.07,93.85,9156.61
REC-45071480,2024-01-12,82,5,5.68,99.27,8450.84
REC-66849468,2023-11-24,30,1,4.45,94.05,4971.96
REC-92125234,2023-08-19,25,41,1.44,96.43,1826.94
REC-63345392,2020-07-04,40,4,2.47,90.19,4947.84
REC-65462544,2023-08-30,85,8,5.99,91.75,7815.53
REC-33987338,2022-05-23,64,19,6.09,99.39,652.51
REC-85040303,2021-05-25,23,39,6.28,98.25,3728.95
REC-44061458,2022-10-27,86,19,1.61,93.13,4705.55
REC-87531025,2022-05-01,22,39,6.4,95.47,5656.74
REC-63436070,2023-03-11,20,33,5.46,92.27,2128.5
REC-98487446,2020-01-22,20,25,5.92,94.57,3077.81
REC-40839382,2024-06-14,78,7,2.05,92.27,4134.39
REC-31715773,2021-07-20,12,12,2.31,92.54,833.94
REC-38784084,2020-11-28,3,43,3.34,97.64,1280.2
REC-63762374,2019-10-22,21,34,5.03,90.28,9382.98
REC-83897088,2021-11-20,47,15,2.42,97.52,7398.31
REC-31573890,2024-05-17,21,29,4.56,95.57,8424.4
REC-95345915,2024-08-20,29,19,5.08,96.82,6046.51
REC-22225702,2024-08-05,42,31,4.85,99.32,5823.3
REC-73306295,2023-03-22,23,27,5.05,94.99,2187.84
REC-21830043,2022-03-07,25,18,1.83,91.91,3698.58
REC-45311610,2020-12-18,76,26,2.29,95.72,6926.73
REC-59772648,2021-05-03,77,36,6.33,93.51,6375.07
REC-91742470,2022-06-22,36,2,5.73,93.8,2544.36
REC-61583363,2021-08-16,11,29,5.91,90.12,2758.28
REC-92405066,2022-11-25,29,21,2.7,96.79,9597.11
REC-48449249,2024-07-07,39,18,1.43,96.04,7721.05
REC-33524492,2021-10-04,84,42,2.01,95.11,8392.91
REC-68917831,2023-12-01,11,20,6.87,97.87,6196.39
REC-37072687,2024-05-08,12,49,6.06,92.68,4774.42
REC-48387144,2022-07-16,58,7,1.59,90.02,7959.44
REC-14510970,2021-11-09,75,6,6.01,92.68,8427.27
REC-79231333,2023-10-29,27,38,6.66,96.71,4374.09
REC-92569402,2023-11-04,43,1,4.03,91.5,7809.75
REC-14840043,2023-08-03,3,31,6.58,96.27,8301.72
REC-42112480,2021-02-05,37,4,3.4,95.93,6127.63
REC-31131878,2022-08-31,40,0,6.88,95.45,2935.32
REC-47035619,2021-02-08,98,28,4.47,94.94,3701.91
REC-57395992,2020-11-09,98,19,2.8,92.61,7457.08
REC-64418707,2024-04-26,17,33,4.78,93.17,7390.12
REC-79490249,2023-10-28,50,27,3.05,90.09,5218.5
REC-19209640,2021-03-26,34,48,6.83,94.66,6812.87
REC-83765077,2024-04-12,95,9,3.71,93.78,3019.34
REC-85042992,2020-03-02,51,49,3.98,97.5,4329.36
REC-56637316,2024-02-15,48,9,2.12,94.23,8493.63
REC-40372869,2019-12-16,10,28,4.27,94.34,5609.11
REC-71036720,2020-04-19,15,2,1.67,92.4,9463.34
REC-87162674,2020-01-30,63,31,1.51,91.8,2486.37
REC-45045256,2019-09-21,38,1,6.46,96.12,6797.28
REC-64644684,2023-03-06,17,48,3.78,99.51,8735.07
REC-24289484,2020-11-02,27,46,2.17,91.08,8397.96
REC-77534222,2021-08-21,96,9,5.39,93.0,9684.76
REC-55629449,2020-03-31,92,6,4.72,95.05,8733.41
REC-78892172,2020-12-14,95,23,5.02,99.65,9992.48
REC-82196170,2019-09-30,43,21,6.22,94.56,3697.39
REC-69427400,2021-07-12,20,41,4.04,96.61,8167.56
REC-85587210,2023-12-21,8,6,5.26,93.9,8393.2
REC-42651583,2023-07-19,37,42,4.38,96.71,5738.67
REC-71585593,2022-11-04,84,36,4.86,95.06,9968.23
REC-88762521,2020-03-07,77,2,3.94,90.61,1047.29
REC-74688940,2023-10-12,97,4,2.75,97.79,7781.89
REC-44603983,2023-10-26,37,10,3.71,92.52,5706.23
REC-61361533,2019-10-20,3,33,2.16,99.09,6099.87
REC-40860700,2019-09-22,36,33,2.36,94.59,5573.88
REC-65354876,2024-03-12,23,14,2.86,98.7,5441.55
REC-79324022,2024-05-11,66,44,1.56,98.56,7722.08
REC-11305024,2023-03-02,69,14,4.92,93.77,2113.07
REC-43320572,2019-10-08,28,16,2.13,99.25,1328.11
REC-22483514,2019-10-23,72,37,2.28,92.34,3333.47
REC-55901507,2024-03-03,56,33,5.82,93.08,7738.82
REC-84430642,2022-01-02,16,18,6.75,93.52,2911.13
REC-73962190,2024-03-23,18,8,6.97,94.17,5066.91
REC-57451057,2022-02-08,44,11,3.19,91.95,6600.91
REC-87002404,2019-10-25,76,40,4.95,93.34,3824.34
REC-34532913,2023-12-10,69,0,1.28,94.69,5854.37
REC-76974557,2023-05-01,50,29,4.03,92.57,2341.26
REC-41522559,2021-03-11,98,21,6.16,96.78,2085.2
REC-45622106,2020-07-30,0,29,4.3,96.12,7727.53
REC-40763714,2020-06-27,16,3,5.73,93.74,7356.29
REC-43513553,2024-02-17,85,27,5.74,91.24,1436.37
REC-30937370,2020-12-07,9,24,1.3,93.25,8333.09
REC-26089818,2021-09-19,89,17,6.68,97.72,1257.91
REC-99043272,2021-04-20,67,5,3.86,91.17,5354.12
REC-92386462,2024-02-23,21,32,2.93,94.67,5798.8
REC-82675403,2021-10-25,68,44,4.94,94.74,3851.33
REC-74732147,2022-09-07,9,45,4.33,95.11,3706.82
REC-93304578,2021-12-10,60,35,2.43,90.71,1737.07
REC-76080806,2023-01-17,80,44,4.91,92.2,7333.72
REC-75874779,2020-05-04,79,20,4.74,95.86,3446.32
REC-78603195,2022-11-04,61,37,3.51,95.51,9068.95
REC-63402482,2023-02-14,31,12,1.91,99.84,1714.96
REC-87398691,2023-07-29,62,41,3.68,91.12,6427.81
REC-17267644,2024-06-22,66,37,5.08,95.47,7810.77
REC-66797703,2021-09-26,53,14,1.27,93.43,707.68
REC-82580645,2021-08-03,72,4,2.55,91.76,2116.87
REC-77441081,2022-03-21,0,39,6.81,96.58,768.93
REC-62843790,2020-05-09,36,48,4.89,98.9,7879.75
REC-71363812,2019-12-09,78,35,2.56,98.59,8132.23
REC-79552316,2020-06-18,97,2,5.23,95.12,9202.97
REC-52365995,2023-02-12,81,17,1.12,95.08,1205.72
REC-11586450,2022-11-23,71,29,2.31,99.22,268.52
REC-60925964,2022-11-16,23,25,2.72,94.73,7491.41
REC-53679307,2024-05-15,99,26,4.2,94.86,7209.51
REC-92245683,2023-09-19,73,0,6.63,99.63,5162.59
REC-35119175,2020-02-23,30,18,5.36,95.63,2572.68
REC-45279000,2019-10-01,88,41,4.79,95.72,4278.85
REC-46159360,2021-02-15,91,20,3.57,96.89,4452.97
REC-92286747,2020-05-15,68,34,4.28,95.52,9226.68
REC-59113508,2023-12-03,31,48,2.27,92.17,5638.82
REC-76943778,2023-05-12,25,8,2.76,98.11,3281.61
REC-38257191,2022-06-27,27,34,3.09,96.99,1341.61
REC-59970552,2024-06-25,56,45,5.33,90.61,7629.79
REC-63766628,2020-06-24,76,14,3.39,93.16,7744.67
REC-70495821,2024-02-28,58,23,4.86,90.86,7459.32
REC-86693314,2020-01-12,51,39,6.11,94.71,2751.79
REC-87295013,2021-08-15,84,6,1.25,99.29,3375.78
REC-23404289,2021-06-19,39,27,6.95,92.6,3291.66
REC-41649234,2024-06-27,96,3,2.32,95.18,5835.37
REC-61121302,2023-09-18,56,34,6.97,96.0,9274.49
REC-29574814,2021-12-22,57,44,4.85,94.37,4180.67
REC-73483243,2020-01-24,46,19,6.78,98.44,9174.47
REC-33703827,2020-04-19,91,8,2.21,92.35,4494.85
REC-77054885,2022-01-20,97,41,2.38,98.32,7381.51
REC-94644676,2024-04-15,93,31,1.94,95.15,9704.8
REC-81669929,2024-06-17,5,35,5.38,96.57,6432.86
REC-75313057,2019-12-13,70,0,3.68,90.44,496.75
REC-43685164,2021-03-12,92,24,6.43,99.03,9924.95
REC-63472598,2022-05-06,84,20,2.9,95.92,6621.89
REC-31923376,2019-10-20,46,37,4.74,98.78,1128.77
REC-38919534,2021-06-06,3,25,3.36,97.72,2635.76
REC-73960038,2024-08-29,89,9,4.13,93.08,516.47
REC-70378491,2020-11-22,13,35,4.79,96.43,7867.74
REC-44865621,2023-01-21,17,46,3.51,93.83,2530.04
REC-58359530,2020-04-28,17,14,4.3,91.77,9522.22
REC-56189726,2022-03-19,92,41,4.21,99.96,4496.23
REC-65265613,2021-01-18,37,15,3.47,91.75,4666.41
REC-57122567,2024-06-19,50,14,2.07,99.17,8419.56
REC-87424000,2021-09-18,15,33,1.2,94.14,8320.83
REC-33426205,2024-06-27,7,41,5.98,91.98,3803.54
REC-57661928,2022-12-24,19,38,2.6,91.21,4085.28
REC-78510704,2024-04-07,35,37,4.96,99.77,8216.24
REC-69985944,2022-06-28,98,6,2.22,93.93,3093.58
REC-61146483,2022-12-07,21,35,1.33,94.07,2450.29
REC-72243750,2020-11-09,23,26,5.28,98.7,6773.39
REC-32491607,2020-05-02,78,4,4.89,93.48,9772.13
REC-66615250,2023-12-05,94,28,6.32,99.28,2295.56
REC-19575640,2022-08-11,63,2,6.67,96.91,3663.16
REC-31743203,2020-02-15,11,49,2.01,95.59,8379.81
REC-40630893,2020-07-01,82,32,6.67,93.3,6616.36
REC-52530677,2023-05-21,48,45,4.9,97.46,6800.26
REC-45899536,2021-08-23,11,14,5.95,93.89,1189.29
REC-46406303,2020-04-25,29,29,4.11,97.49,5688.18
REC-58743159,2022-07-26,63,48,2.63,96.21,7424.63
REC-70436720,2023-01-16,61,16,5.93,90.26,689.91
REC-32457056,2022-06-12,67,23,3.35,97.05,7616.36
REC-13100576,2019-12-03,68,21,3.96,97.44,7035.41
REC-41491128,2021-12-29,32,28,1.39,98.3,5736.51
REC-20746107,2023-07-02,78,3,2.06,97.93,8530.77
REC-32402343,2023-11-04,25,33,5.36,98.48,4420.07
REC-23825676,2021-08-10,81,7,4.85,97.82,908.65
REC-18562070,2022-09-11,45,38,5.64,91.2,1672.72
REC-83609531,2024-05-16,17,25,2.81,99.31,3274.46
REC-13538638,2022-11-11,93,47,3.02,90.92,7412.89
REC-80327779,2023-05-05,54,10,2.28,93.64,3365.54
REC-23949034,2021-04-01,21,21,1.8,90.72,8295.06
REC-92960269,2024-08-26,39,4,1.95,97.72,7617.37
REC-21316066,2022-11-25,64,29,4.19,93.37,2983.12
REC-51523026,2020-05-25,59,1,5.4,94.67,2623.47
REC-43204998,2022-03-07,10,2,5.0,92.04,7368.42
REC-69479985,2021-10-06,1,15,4.92,91.37,8261.44
REC-27619715,2020-04-17,64,49,1.65,90.94,7194.38
REC-32898616,2020-05-13,61,34,5.26,93.28,5656.77
REC-14718421,2021-12-12,72,14,6.31,93.1,8142.09
REC-53647781,2020-12-24,20,48,4.86,94.05,418.09
REC-72705646,2022-11-25,60,13,5.17,95.42,5551.24
REC-46562845,2020-12-24,59,17,2.72,91.43,6785.58
REC-69706076,2022-12-25,48,29,4.44,94.17,6008.29
REC-82381952,2022-05-12,64,19,2.27,93.67,7637.34
REC-89299984,2022-09-26,15,12,4.75,92.44,2743.19
REC-94697764,2020-07-29,85,17,1.42,93.14,9840.89
REC-80257585,2020-06-12,81,0,2.15,99.81,6981.41
REC-51562039,2019-09-18,67,15,6.73,92.02,8438.1
REC-74646194,2022-04-16,85,13,5.98,92.68,6900.92
REC-40484663,2023-06-14,8,30,6.59,99.61,3374.55
REC-69305486,2022-09-24,83,48,4.27,90.89,6440.09
REC-59094606,2021-12-18,12,3,2.2,95.99,2709.99
REC-44870711,2020-07-15,77,36,1.98,97.84,9566.82
REC-50744867,2020-10-17,84,23,2.91,90.44,9805.01
REC-10012394,2020-05-30,90,19,2.12,98.09,4077.45
REC-28293937,2021-04-06,85,22,5.45,99.02,3937.22
REC-48488577,2023-05-03,20,9,3.81,92.22,5207.74
REC-81819757,2023-06-27,26,48,4.82,92.82,6105.28
REC-76025948,2024-05-28,15,48,1.04,95.19,3171.77
REC-50213043,2024-05-21,4,19,4.22,99.0,4913.58
REC-67772049,2024-01-11,99,2,1.88,90.07,5767.89
REC-90128487,2023-02-20,7,44,4.4,95.85,2179.09
REC-10968781,2020-07-18,17,4,6.94,99.85,5904.48
REC-60149632,2019-11-22,85,47,1.75,95.56,524.24
REC-65262252,2020-06-06,9,44,4.52,99.46,4511.45
REC-62982727,2022-09-05,23,4,4.65,98.84,5995.06
REC-31913660,2024-05-19,16,49,1.25,91.06,6047.35
REC-60782359,2020-06-17,53,13,2.42,90.68,2534.4
REC-45296615,2022-06-05,23,25,1.62,98.09,6449.76
REC-66672010,2022-12-11,75,26,5.55,94.87,5600.41
REC-79338228,2019-10-10,82,15,1.27,91.87,1095.27
REC-48208680,2022-02-24,78,38,3.63,90.54,6379.51
REC-46080681,2023-03-10,44,48,1.8,98.57,1266.23
REC-35233016,2022-12-19,26,28,4.48,95.04,7945.05
REC-34482277,2020-05-22,35,27,2.68,97.06,8732.54
REC-48868823,2024-06-05,83,16,6.99,91.41,3949.51
REC-95482292,2021-09-25,53,21,1.88,91.04,745.66
REC-92910238,2024-07-14,18,48,4.28,90.49,9204.75
REC-46525224,2024-02-07,36,25,5.0,98.21,6910.48
REC-35204672,2021-02-09,25,27,6.45,93.85,9285.69
REC-12603206,2022-11-27,41,34,4.38,94.06,5946.06
REC-16661503,2021-02-09,26,46,5.47,93.47,3115.86
REC-12970357,2020-11-06,52,34,3.81,94.91,4653.11
REC-23726915,2021-12-15,84,9,3.76,96.72,7077.51
REC-46130759,2022-03-25,75,5,6.14,90.85,3833.56
REC-68843284,2021-12-13,35,46,3.54,95.59,1556.19
REC-41247296,2023-11-12,27,1,1.8,91.78,7611.68
REC-30224423,2020-11-28,23,16,2.87,97.36,5549.5
REC-76247126,2020-03-16,24,3,4.6,97.99,9766.08
REC-55890766,2021-02-02,53,31,3.08,91.44,8053.6
REC-51819114,2023-05-14,73,31,5.15,99.79,2482.94
REC-59848072,2022-01-06,37,42,3.1,94.0,7844.67
REC-14259684,2023-04-02,46,19,4.69,93.42,801.15
REC-20767361,2022-03-21,82,19,1.7,92.96,7262.06
REC-17521339,2023-10-15,47,45,4.0,92.27,128.28
REC-62669959,2020-04-27,24,43,1.8,91.97,1503.73
REC-82905989,2022-09-27,51,29,5.55,98.44,3521.98
REC-34374441,2021-10-23,58,28,4.16,93.3,641.49
REC-43565097,2021-10-07,41,2,5.47,96.75,4856.41
REC-11693222,2023-11-20,64,8,3.76,97.75,5079.0
REC-43415162,2021-05-01,4,21,1.41,98.56,5619.98
REC-69453211,2023-07-25,5,30,1.31,95.5,732.75
REC-14497675,2020-07-30,61,13,5.66,93.48,5301.0
REC-71852177,2020-10-26,92,48,2.77,90.71,4184.73
REC-79946108,2022-04-05,79,45,3.89,98.57,8416.67
REC-73461570,2019-09-23,15,35,6.74,90.13,9309.43
REC-51890609,2023-01-13,89,17,4.09,96.83,946.66
REC-31288466,2022-06-30,43,32,6.43,90.93,4783.92
REC-83763371,2022-11-25,22,47,3.3,98.36,618.12
REC-26393556,2022-06-21,16,33,3.55,92.31,6692.68
REC-74589542,2023-05-31,84,25,4.6,97.18,4770.31
